Date,Adj Close,Close,High,Low,Open,Volume,Return,Previous_Return,MA_5,MA_20,MA_50,Volatility_10,Volume_Change,Target
2019-12-17,12165.0,12165.0,12182.75,12070.349609375,12082.4501953125,499600,0.009212731336046609,-0.0027095898360001147,12037.5201171875,12015.4326171875,11802.1419921875,0.006185077486139456,0.1414210646561571,1.0
2019-12-18,12221.650390625,12221.650390625,12237.7001953125,12163.4501953125,12197.0,518900,0.004656834412248179,0.009212731336046609,12099.8201171875,12026.56015625,11820.295,0.006214886214023213,0.03863090472377895,1.0
2019-12-19,12259.7001953125,12259.7001953125,12268.349609375,12191.150390625,12223.400390625,623100,0.003113311498149862,0.004656834412248179,12157.4001953125,12041.125146484375,11841.99400390625,0.00610093551877398,0.20080940450953944,1.0
2019-12-20,12271.7998046875,12271.7998046875,12293.900390625,12252.75,12266.4501953125,810700,0.000986941701855537,0.003113311498149862,12194.4201171875,12058.9951171875,11864.9019921875,0.005016117555640037,0.30107526881720426,0.0
2019-12-23,12262.75,12262.75,12287.150390625,12213.25,12235.4501953125,604800,-0.0007374472230261553,0.000986941701855537,12236.180078125,12068.4451171875,11883.89099609375,0.005130220964480705,-0.25397804366596766,0.0
2019-12-24,12214.5498046875,12214.5498046875,12283.7001953125,12202.099609375,12269.25,470300,-0.003930618769240168,-0.0007374472230261553,12246.0900390625,12077.28759765625,11903.49099609375,0.004600974987668215,-0.22238756613756616,0.0
2019-12-26,12126.5498046875,12126.5498046875,12221.5498046875,12118.849609375,12211.849609375,520300,-0.007204522590446127,-0.003930618769240168,12227.069921875,12078.580078125,11919.92099609375,0.0055616837383670285,0.106315118009781,1.0
2019-12-27,12245.7998046875,12245.7998046875,12258.4501953125,12157.900390625,12172.900390625,383800,0.009833794601157297,-0.007204522590446127,12224.28984375,12083.312548828126,11938.013984375,0.006048088025755909,-0.2623486450124928,1.0
2019-12-30,12255.849609375,12255.849609375,12286.4501953125,12213.7998046875,12274.900390625,411100,0.0008206736062803532,0.009833794601157297,12221.0998046875,12093.3025390625,11954.56498046875,0.005478511989984711,0.07113079729025529,0.0
2019-12-31,12168.4501953125,12168.4501953125,12247.099609375,12151.7998046875,12247.099609375,426900,-0.007131240742024536,0.0008206736062803532,12202.23984375,12099.3150390625,11968.653984375,0.006000947341429141,0.038433471174896594,1.0
