Date,Return_1D,Return_5D,Return_10D,Return_20D,Price_to_MA5,Price_to_MA20,Price_to_MA50,High_Low_Range,Open_Close_Return,Volatility_10,Volatility_20,Volume_Change,Relative_Volume,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Position,ATR_Percent,Target,Close,Prediction,Probability_UP,Next_Return,Position,Strategy_Return,Position_Change,Trading_Cost,Net_Strategy_Return,Buy_Hold_Return,Strategy_Equity,Buy_Hold_Equity
2025-08-01,-0.0081959437427822,-0.0109373269970205,-0.0161424350356594,-0.0351773453762617,-0.0069851783833876,-0.0203179132674709,-0.0194203674987902,0.0101402835024149,-0.0068547185787035,0.0058927600636203,0.0048609096810043,-0.2393878140340745,0.9608229371853796,36.00690532484156,-110.60294941311076,-43.62562282112897,-66.9773265919818,0.0080880844246071,0.008597241687444,1,24565.349609375,1,0.53398716,0.006407415043054421,1,0.006407415043054421,1.0,0.0005,0.00590741504305442,0.006407415043054421,1.0697274366404332,1.273597176967556
2025-08-04,0.0064074150430544,0.0016956273358201,-0.0146647654392603,-0.029006796926647,-0.0009605359440454,-0.0125865254049297,-0.0129179987505326,0.0073717527378629,0.0051512017061936,0.0060938781532248,0.0051844357759975,-0.0155656795747911,0.9350883519653804,41.83313364666909,-116.01850067283522,-58.10419839147022,-57.914302281365,0.1895586552428667,0.0084588810493187,0,24722.75,1,0.50791115,-0.0029608040671041946,1,-0.0029608040671041946,0.0,0.0,-0.0029608040671041946,-0.0029608040671041946,1.0665601832953353,1.269826305266138
2025-08-05,-0.0029608040671041,-0.0069114112921977,-0.0164139996154679,-0.0342031234694877,-0.0025355633755062,-0.0137908478641666,-0.0157017124765698,0.0057931614816129,-0.0028599718348317,0.0061108617207258,0.0051124066976384,-0.0289240262244504,0.9013136700433118,40.00883628523377,-124.77855970056773,-71.43907065328972,-53.33948904727799,0.143105619662746,0.0082917977246181,0,24649.55078125,1,0.551237,-0.003056914228121266,1,-0.003056914228121266,0.0,0.0,-0.003056914228121266,-0.003056914228121266,1.0632998002958722,1.2659445551663273
2025-08-06,-0.0030569142281212,-0.0112995770948843,-0.0256028438603598,-0.0354018238448521,-0.0033192931840896,-0.0150285030365536,-0.0185709151220544,0.0053796736446301,-0.0027251100970318,0.0054319945325327,0.0051210766228119,-0.1060365369340746,0.8077654573509886,38.16383067098533,-136.23082677698767,-84.39742187802932,-51.83340489895835,0.0946564102038887,0.0081073978243164,1,24574.19921875,1,0.5085081,0.0008932609229541644,1,0.0008932609229541644,0.0,0.0,0.0008932609229541644,0.0008932609229541644,1.0642496044568615,1.267075373968084
2025-08-07,0.0008932609229541,-0.0069523897016061,-0.0185917870414856,-0.0299385574733043,-0.0010336293894385,-0.0126466120203592,-0.0175079014708026,0.0117924481481278,0.0053936436134753,0.0053639391427297,0.005104944718573,1.7396712572190136,2.0658236328615693,39.045684014607296,-141.89982200891973,-95.89790190420742,-46.00192010471231,0.1478494035763496,0.0083638969717685,0,24596.150390625,1,0.57891977,-0.009466912735407229,1,-0.009466912735407229,0.0,0.0,-0.009466912735407229,-0.009466912735407229,1.0541744463227767,1.2550800819735446
2025-08-08,-0.0094669127354072,-0.0082249522737462,-0.0190723202782139,-0.0312744942948606,-0.0088640725305603,-0.0204473750831797,-0.0265077801273514,0.0101792446855501,-0.0073723670004176,0.0054371972160108,0.0052059589765568,-0.4931084806226691,1.0362831711723657,33.575750972947816,-163.29914811503477,-109.37815114637289,-53.92099696866188,-0.0163190005703601,0.008599016839656,1,24363.30078125,0,0.49548966,0.009101804471857822,0,0.0,1.0,0.0005,-0.0005,0.009101804471857822,1.0536473590996154,1.266503575476191
2025-08-11,0.0091018044718578,-0.0055697371348252,-0.0038835539975441,-0.0198247363484179,0.0012788481600678,-0.0105425937807741,-0.0175439618533433,0.0103070924229393,0.0087623158709968,0.0061871475111584,0.0057158150929061,-0.2287268074216251,0.8017024955525629,41.92035488205784,-160.51458425954115,-119.60543776900654,-40.90914649053461,0.2368189195641704,0.0086490016550854,0,24585.05078125,1,0.68887645,-0.003971941790719136,1,-0.003971941790719136,1.0,0.0005,-0.004471941790719136,-0.003971941790719136,1.048935509441777,1.2614730969966619
2025-08-12,-0.0039719417907191,-0.0065782290340293,-0.0134441754797987,-0.0281158117090754,-0.0013792103918156,-0.0130657617276671,-0.0214031252997051,0.0096763729497687,-0.0030919732022628,0.00588350918884,0.0055992858367895,-0.0170053919535462,0.7886330360708106,39.56331573504213,-164.29349463048493,-128.54304914130222,-35.75044548918271,0.1719788132484576,0.0087544120490549,1,24487.400390625,0,0.49111584,0.005388453516712133,0,0.0,1.0,0.0005,-0.0005,0.005388453516712133,1.048411041687056,1.2682704861424112
2025-08-13,0.0053884535167121,0.0018373087246135,-0.0094830291818517,-0.023508645806623,0.0036322180707968,-0.0065611449154392,-0.0161293334180534,0.0052519982575316,0.001348333279579,0.0062168280432049,0.0057881882678237,-0.0042194092827003,0.7843658601435788,44.1342502385448,-154.85602525294962,-133.8056443636317,-21.05038088931792,0.3250665284018723,0.0085994980923537,1,24619.349609375,0,0.4886853,0.00048543816407109475,0,0.0,0.0,0.0,0.0,0.00048543816407109475,1.048411041687056,1.2688861530387499
2025-08-14,0.000485438164071,0.0014291013051537,-0.0055332240656489,-0.0191206980257231,0.003831733211826,-0.0051151006412253,-0.0155576203087945,0.0031159539921019,0.0009773859838055,0.0061622493489058,0.0057599803070341,0.1449152542372882,0.8940506915492026,44.54336601487869,-144.74388567365168,-135.99329262563572,-8.750593048015958,0.3571591624176118,0.0082039419074798,1,24631.30078125,0,0.4576155,0.009973019276634965,0,0.0,0.0,0.0,0.0,0.009973019276634965,1.048411041687056,1.2815407791028606
